nome_cientifico,nome_popular,reino,filo,classe,ordem,familia,genero,grupo_taxonomico
Aegla violacea,Egla,Animalia,Arthropoda,Malacostraca,Decapoda,Aeglidae,Aegla,crustaceos
Spelaeogammarus spinilacertus,,Animalia,Arthropoda,Malacostraca,Amphipoda,Artesiidae,Spelaeogammarus,crustaceos
Notholebias vermiculatus,Peixe-anual,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Notholebias,peixes
Simpsonichthys nigromaculatus,Peixe-anual,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Simpsonichthys,peixes
Amazona pretrei,Papagaio-da-serra,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,aves
Pectenoniscus montalvaniensis,Tatuzinho-de-jardim,Animalia,Arthropoda,Malacostraca,Isopoda,Styloniscidae,Pectenoniscus,crustaceos
Schwarziana bocainensis,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Schwarziana,insetos
Ardistomis ferreirai,,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Ardistomis,insetos
Maricaella duna,,Animalia,Arthropoda,Entognatha,Symphypleona,Arrhopalitidae,Maricaella,outros
Iandumoema smeagol,,Animalia,Arthropoda,Arachnida,Opiliones,Gonyleptidae,Iandumoema,aracnideos
Mobula thurstoni,Manta-vampira,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Mobulidae,Mobula,peixes
Myrmotherula oreni,choquinha-do-bambu,Animalia,Chordata,Aves,Passeriformes,Thamnophilidae,Myrmotherula,aves
Atlantirivulus simplicis,Rivúlo-marrom,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Atlantirivulus,peixes
Isogomphodon oxyrhynchus,Cacao Pato,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Isogomphodon,peixes
Eupera troglobia,Bivalve,Animalia,Mollusca,Bivalvia,Sphaeriida,Sphaeriidae,Eupera,moluscos
Pseudoplatystoma corruscans,Caçonete,Animalia,Chordata,Actinopterygii,Siluriformes,Pimelodidae,Pseudoplatystoma,peixes
Charinus eleonorae,,Animalia,Arthropoda,Arachnida,Amblypygi,Charinidae,Charinus,aracnideos
Bombus bahiensis,,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,insetos
Pithecopus rusticus,,Animalia,Chordata,Amphibia,Anura,Phyllomedusidae,Pithecopus,anfibios
Cubacubana spelaea,,Animalia,Arthropoda,Insecta,Zygentoma,Nicoletiidae,Cubacubana,insetos
Hypsolebias adornatus,Peixe-anual,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Hypsolebias,peixes
Cnesterodon omorgmatos,Barrigudinho,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Cnesterodon,peixes
Acratosaura spinosa,Lagarto-Espinhoso,Animalia,Chordata,Reptilia,Squamata,Gymnophthalmidae,Acratosaura,repteis
Anotosaura collaris,,Animalia,Chordata,Reptilia,Squamata,Gymnophthalmidae,Anotosaura,repteis
Ophthalmolebias bokermanni,Peixe-anual,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Ophthalmolebias,peixes
Ortalis remota,,Animalia,Chordata,Aves,Galliformes,Cracidae,Ortalis,aves
Harttia depressa,Acari-cachimbo,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Harttia,peixes
Calyptommatus nicterus,,Animalia,Chordata,Reptilia,Squamata,Gymnophthalmidae,Calyptommatus,repteis
Garcialebias bagual,,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Garcialebias,peixes
Piculus paraensis,Pica-paus,Animalia,Chordata,Aves,Piciformes,Picidae,Piculus,aves
Alouatta caraya,Bugio,Animalia,Chordata,Mammalia,Primates,Atelidae,Alouatta,mamiferos
Newportia spelaea,,Animalia,Arthropoda,Chilopoda,Scolopendromorpha,Scolopocryptopidae,Newportia,outros
Lepidothrix iris,Uirapuru-cabeça-de-prata,Animalia,Chordata,Aves,Passeriformes,Pipridae,Lepidothrix,aves
Hypsolebias nudiorbitatus,,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Hypsolebias,peixes
Hypsolebias brunoi,Peixe-anual,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Hypsolebias,peixes
Serpophaga hypoleuca pallida,,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Serpophaga,aves
Leposternon maximus,Cobra-Cega,Animalia,Chordata,Reptilia,Squamata,Amphisbaenidae,Leposternon,repteis
Parotocinclus cesarpintoi,Cascudinho,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Parotocinclus,peixes
Rhipidodonta koseritzi,Bivalve,Animalia,Mollusca,Bivalvia,Unionida,Hyriidae,Rhipidodonta,moluscos
Melanorivulus vittatus,,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Melanorivulus,peixes
Phaenomys ferrugineus,Rato-ferrugem,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Phaenomys,mamiferos
Gymnura altavela,Avejão,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Gymnuridae,Gymnura,peixes
Cyanopsitta spixii,arara-de-spix,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Cyanopsitta,aves
Leptopanchax sanguineus,,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Leptopanchax,peixes
Plesiolebias xavantei,Peixe-anual,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Plesiolebias,peixes
Tosanoides aphrodite,Anthias-afrodite,Animalia,Chordata,Actinopterygii,Perciformes,Anthiadidae,Tosanoides,peixes
Matilebias litzi,Peixe-anual,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Matilebias,peixes
Contopus nigrescens,Piui-preto,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Contopus,aves
Amphisbaena carvalhoi,Cobra-Cega,Animalia,Chordata,Reptilia,Squamata,Amphisbaenidae,Amphisbaena,repteis
Diomedea exulans,Albatroz-viageiro,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Diomedea,aves
Microspathodon chrysurus,Donzela-Azul,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Microspathodon,peixes
Lipaugus conditus,cotinga-d'asa-cinzenta,Animalia,Chordata,Aves,Passeriformes,Cotingidae,Lipaugus,aves
Astyanax eremus,Lambari,Animalia,Chordata,Actinopterygii,Characiformes,Acestrorhamphidae,Astyanax,peixes
Plecturocebus bernhardi,Zogue-zogue,Animalia,Chordata,Mammalia,Primates,Pitheciidae,Plecturocebus,mamiferos
Simpsonichthys zonatus,Peixe-anual,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Simpsonichthys,peixes
Xangoniscus aganju,Tatuzinho-de-jardim,Animalia,Arthropoda,Malacostraca,Isopoda,Styloniscidae,Xangoniscus,crustaceos
Plexaurella obesa,,Animalia,Cnidaria,Anthozoa,Alcyonacea,Plexauridae,Plexaurella,outros
Coarazuphium amazonicus,,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Coarazuphium,insetos
Aegla ludwigi,Egla,Animalia,Arthropoda,Malacostraca,Decapoda,Aeglidae,Aegla,crustaceos
Charinus taboa,,Animalia,Arthropoda,Arachnida,Amblypygi,Charinidae,Charinus,aracnideos
Rhamdiopsis krugi,bagrinho-cego,Animalia,Chordata,Actinopterygii,Siluriformes,Heptapteridae,Rhamdiopsis,peixes
Notholebias cruzi,Peixe-anual,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Notholebias,peixes
Actinote zikani,borboleta,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Actinote,insetos
Microlepidogaster perforata,Cascudinho,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Microlepidogaster,peixes
Lutjanus cyanopterus,,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae,Lutjanus,peixes
Leposternon kisteumacheri,Cobra-de-duas-cabeças,Animalia,Chordata,Reptilia,Squamata,Amphisbaenidae,Leposternon,repteis
Alouatta discolor,Guariba-de-mãos-ruivas,Animalia,Chordata,Mammalia,Primates,Atelidae,Alouatta,mamiferos
Coarazuphium tessai,,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Coarazuphium,insetos
