id_pan,nome,nome_completo,abrangencia_taxonomica,abrangencia_geografica,ciclo,status,data_inicio,data_fim,ano_inicio,ano_fim,status_legal,site
CEMAVE_01.01,(Finalizado) Mutum-do-sudeste,Plano de Ação Nacional para a Conservação do Mutum-do-sudeste,Monoespecífico,Específico (distribuição da espécie),1º ciclo,Finalizado,2004-01-01,2014-12-01,2004,2014,Portaria com prazo expirado,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-mutum-do-sudeste
CEMAVE_02.01,(Finalizado) Albatrozes e Petréis - 1º ciclo,Plano de Ação Nacional para a Conservação dos Albatrozes e Petréis,Intraclasse,Bioma,1º ciclo,Finalizado,2006-01-01,2006-01-01,2006,2006,Portaria com prazo expirado,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-albatrozes-e-petreis
CEMAVE_03.01,(Finalizado) Arara-azul-de-Lear - 1º ciclo,Plano de Ação Nacional para Conservação da Arara-azul-de-lear (Anodorhynchus leari),Monoespecífico,Específico (distribuição da espécie),1º ciclo,Finalizado,2006-01-01,2011-12-01,2006,2011,Portaria com prazo expirado,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-arara-azul-de-lear
CEMAVE_04.01,(Finalizado) Aves de Rapina,Plano de Ação Nacional para a Conservação de Aves de Rapina,Intraclasse,Nacional,1º ciclo,Finalizado,2006-04-04,2011-12-01,2006,2011,Portaria com prazo expirado,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-aves-de-rapina
CEMAVE_18.01,(Finalizado) Pato-mergulhão - 1º ciclo,Plano de Ação Nacional para a Conservação do Pato-mergulhão,Monoespecífico,Específico (distribuição da espécie),1º ciclo,Finalizado,2014-04-08,2016-02-01,2006,2016,Portaria com prazo expirado,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-pato-mergulhao
CEMAVE_05.01,(Finalizado) Galliformes,Plano de Ação Nacional para a Conservação dos Galliformes,Intraclasse,Nacional,1º ciclo,Finalizado,2007-04-25,2011-12-01,2007,2011,Portaria com prazo expirado,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-galliformes
CEMAVE_06.01,(Finalizado) Mutum-de-alagoas,Plano de Ação Nacional para a Conservação do Mutum-de-alagoas,Monoespecífico,Específico (distribuição da espécie),1º ciclo,Finalizado,2007-04-25,2013-12-01,2007,2013,Portaria com prazo expirado,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-mutum-de-alagoas
CBC_01.01,(Finalizado) Lepidópteros,Plano de Ação Nacional para a Conservação de Lepidópteros,Intraclasse,Nacional,1º ciclo,Finalizado,2010-08-27,2015-12-01,2010,2015,Portaria com prazo expirado,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-lepidopteros
CECAV_01.01,(Finalizado) Morceguinho-do-cerrado,Plano de Ação Nacional para Conservação do Morceguinho-do-cerrado,Monoespecífico,Bioma,1º ciclo,Finalizado,2010-08-27,2015-09-01,2010,2015,Portaria com prazo expirado,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-morceguinho-do-cerrado
CEMAVE_07.01,(Finalizado) Formigueiro-do-litoral,Plano de Ação Nacional para Conservação do Formigueiro-do-litoral,Monoespecífico,Específico (distribuição da espécie),1º ciclo,Finalizado,2010-08-27,2015-08-01,2010,2015,Portaria com prazo expirado,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-formigueiro-do-litoral
CEMAVE_08.01,(Finalizado) Soldadinho-do-araripe - 1º ciclo,Plano de Ação Nacional para Conservação do Soldadinho-do-araripe,Monoespecífico,Específico (distribuição da espécie),1º ciclo,Finalizado,2010-08-27,2015-08-01,2010,2015,Portaria com prazo expirado,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-soldadinho-do-araripe
CENAP_01.01,(Finalizado) Ariranha - 1º ciclo,Plano de Ação Nacional para a Conservação da Ariranha (Pteronura brasiliensis),Monoespecífico,Específico (distribuição da espécie),1º ciclo,Finalizado,2010-08-27,2015-08-01,2010,2015,Portaria com prazo expirado,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-ariranha
CENAP_02.01,(Finalizado) Cervídeos,Plano de Ação Nacional para a Conservação dos Cervídeos Brasileiros,Intraclasse,Nacional,1º ciclo,Finalizado,2010-08-27,2015-08-01,2010,2015,Portaria com prazo expirado,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-cervideos
CMA_02.01,(Finalizado) Pequenos Cetáceos,Plano de Ação Nacional para Conservação dos Pequenos Cetáceos,Intraclasse,Específico (distribuição da espécie),1º ciclo,Finalizado,2010-08-27,2015-08-01,2010,2015,Portaria com prazo expirado,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-pequenos-cetaceos
CMA_03.01,(Finalizado) Toninha - 1º ciclo,Plano de Ação Nacional para Conservação da Toninha,Monoespecífico,Específico (distribuição da espécie),1º ciclo,Finalizado,2010-08-27,2015-09-01,2010,2015,Portaria com prazo expirado,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-toninha
CMA_04.01,(Finalizado) Sirênios,Plano de Ação Nacional para a Conservação dos Sirênios,Intraclasse,Específico (distribuição da espécie),1º ciclo,Finalizado,2010-08-27,2015-08-01,2010,2015,Portaria com prazo expirado,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-sirenios
CPB_01.01,(Finalizado) Muriquis,Plano de Ação Nacional para a Conservação dos Muriquis (Brachyteles hypoxanthus e Brachyteles arachnoides),Intraclasse,Específico (distribuição da espécie),1º ciclo,Finalizado,2010-08-27,2015-08-01,2010,2015,Portaria com prazo expirado,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-muriquis
CPB_02.01,(Finalizado) Ouriço Preto,Plano de Ação Nacional para a Conservação do Ouriço-preto (Chaetomys subspinosus),Monoespecífico,Específico (distribuição da espécie),1º ciclo,Finalizado,2010-08-27,2015-09-01,2010,2015,Portaria com prazo expirado,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-ourico-preto
CPB_03.01,(Finalizado) Mamíferos da Mata Atlântica Central,Plano de Ação Nacional para Conservação dos Mamíferos da Mata Atlântica Central,Intraclasse,Bioma,1º ciclo,Finalizado,2010-12-23,2015-12-23,2010,2015,Portaria com prazo expirado,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-mamiferos-da-mata-atlantica-central
RAN_01.01,(Finalizado) Herpetofauna Insular,Plano de Ação Nacional para a Conservação da Herpetofauna Insular Ameaçada de Extinção,Multiclasse,Ecossistema,1º ciclo,Finalizado,2010-08-27,2015-12-01,2010,2015,Portaria com prazo expirado,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-herpetofauna-insular
TAMAR_01.01,(Finalizado) Tartarugas Marinhas  - 1º ciclo,Plano de Ação Nacional para a Conservação das Tartarugas Marinhas,Intraclasse,Bioma,1º ciclo,Finalizado,2010-12-23,2015-12-01,2010,2015,Portaria com prazo expirado,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-tartarugas-marinhas
CEMAVE_09.01,(Finalizado) Papagaios da Mata Atlântica - 1º ciclo,Plano de Ação Nacional para a Conservação dos Papagaios,Intraclasse,Bioma,1º ciclo,Finalizado,2010-12-14,2016-01-01,2010,2016,Portaria com prazo expirado,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-papagaios
CENAP_03.01,(Finalizado) Onça-pintada,Plano de Ação Nacional para Conservação da Onça-pintada,Monoespecífico,Específico (distribuição da espécie),1º ciclo,Finalizado,2010-12-14,2017-06-01,2010,2017,Portaria com prazo expirado,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-onca-pintada
CEPTA_01.01,(Finalizado) Paraíba do Sul - 1º ciclo,Plano de Ação Nacional para Conservação das Espécies Aquáticas Ameaçadas de Extinção do Rio Paraíba do Sul,Multiclasse,Bacia,1º ciclo,Finalizado,2010-12-14,2020-12-01,2010,2020,Portaria com prazo expirado,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-paraiba-do-sul
CMA_01.01,(Finalizado) Grandes Cetáceos e Pinípedes,Plano de Ação Nacional para Conservação dos Mamíferos Aquáticos Grandes Cetáceos e Pinípedes,Multiclasse,Bioma,1º ciclo,Finalizado,2010-08-27,2020-08-01,2010,2020,Portaria com prazo expirado,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-grandes-cetaceos-e-pinipedes
CPB_04.01,(Finalizado) Sauim-de-coleira  - 1º ciclo,Plano de Ação Nacional para a Conservação do Sauim-de-coleira,Monoespecífico,Específico (distribuição da espécie),1º ciclo,Finalizado,2011-12-02,2016-12-01,2011,2016,Portaria com prazo expirado,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-sauim-de-coleira
CPB_05.01,(Finalizado) Primatas do Nordeste - 1º ciclo,Plano de Ação Nacional para a Conservação dos Primatas do Nordeste,Intraclasse,Bioma,1º ciclo,Finalizado,2012-03-23,2016-12-01,2012,2016,Portaria com prazo expirado,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-primatas-do-nordeste
CECAV_02.01,(Finalizado) Cavernas do Rio São Francisco,Plano de Ação Nacional para a Conservação do Patrimônio Espeleológico nas Áreas Cársticas da Bacia do Rio São Francisco,Multiclasse,Ecossistema,1º ciclo,Finalizado,2012-02-17,2017-02-01,2012,2017,Portaria com prazo expirado,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-cavernas
CEMAVE_10.02,(Finalizado) Albatrozes e Petréis - 2º ciclo,Plano de Ação Nacional para a Conservação dos Albatrozes e Petréis,Intraclasse,Bioma,2º ciclo,Finalizado,2012-02-17,2017-02-01,2012,2017,Portaria com prazo expirado,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-albatrozes-e-petreis
CEMAVE_11.01,(Finalizado) Ararinha-azul - 1º ciclo,Plano de Ação Nacional para a Conservação da Ararinha-azul,Monoespecífico,Específico (distribuição da espécie),1º ciclo,Finalizado,2012-02-17,2017-02-01,2012,2017,Portaria com prazo expirado,https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-ararinha-azul
