nome_cientifico,taxon_id_icmbio,consta_lista_ameacada,dado_sensivel
Aegla violacea,2025224,True,False
Spelaeogammarus spinilacertus,2028031,True,False
Notholebias vermiculatus,2025538,True,False
Simpsonichthys nigromaculatus,1809743,True,False
Amazona pretrei,9859,True,True
Pectenoniscus montalvaniensis,2304056,True,False
Schwarziana bocainensis,2301987,True,False
Ardistomis ferreirai,2303886,True,False
Maricaella duna,2024444,True,False
Iandumoema smeagol,2027986,True,False
Mobula thurstoni,2303289,True,False
Myrmotherula oreni,2025968,True,False
Atlantirivulus simplicis,2025434,True,False
Isogomphodon oxyrhynchus,455790,True,False
Eupera troglobia,2303955,True,False
Pseudoplatystoma corruscans,14249,True,False
Charinus eleonorae,1468209,True,False
Bombus bahiensis,2302015,True,False
Pithecopus rusticus,2027600,True,False
Cubacubana spelaea,2028019,True,False
Hypsolebias adornatus,2025437,True,False
Cnesterodon omorgmatos,334486,True,False
Acratosaura spinosa,2023273,True,False
Anotosaura collaris,559370,True,False
Ophthalmolebias bokermanni,2025539,True,False
Ortalis remota,2303039,True,False
Harttia depressa,728543,True,False
Calyptommatus nicterus,694371,True,False
Garcialebias bagual,2479177,True,False
Piculus paraensis,2026022,True,False
Alouatta caraya,9819,True,False
Newportia spelaea,2027998,True,False
Lepidothrix iris,1320256,True,False
Hypsolebias nudiorbitatus,2025469,True,False
Hypsolebias brunoi,2025441,True,False
Serpophaga hypoleuca pallida,2026006,True,False
Leposternon maximus,2023237,True,False
Parotocinclus cesarpintoi,1010827,True,False
Rhipidodonta koseritzi,2302877,True,False
Melanorivulus vittatus,2025534,True,False
Phaenomys ferrugineus,17913,True,False
Gymnura altavela,2303335,True,False
Cyanopsitta spixii,11403,True,True
Leptopanchax sanguineus,2301459,True,False
Plesiolebias xavantei,458744,True,False
Tosanoides aphrodite,2300746,True,False
Matilebias litzi,2479192,True,False
Contopus nigrescens,7030,True,False
Amphisbaena carvalhoi,239044,True,False
Diomedea exulans,11613,True,False
Microspathodon chrysurus,662001,True,True
Lipaugus conditus,2300485,True,False
Astyanax eremus,2025313,True,False
Plecturocebus bernhardi,2300821,True,False
Simpsonichthys zonatus,599299,True,False
Xangoniscus aganju,2028057,True,False
Plexaurella obesa,2302632,True,False
Coarazuphium amazonicus,2028007,True,False
Aegla ludwigi,2300455,True,False
Charinus taboa,2027980,True,False
Rhamdiopsis krugi,1910543,True,False
Notholebias cruzi,1744187,True,False
Actinote zikani,844280,True,False
Microlepidogaster perforata,1008669,True,False
Lutjanus cyanopterus,2027527,True,False
Leposternon kisteumacheri,2023236,True,False
Alouatta discolor,2023558,True,False
Coarazuphium tessai,1319805,True,False
Amphisbaena acangaoba,2301672,True,False
Thamnophilus caerulescens pernambucensis,2025980,True,False
Choranthias salmopunctatus,2025616,True,False
Thamnomanes caesius caesius,2025977,True,False
Simpsonichthys cholopteryx,598156,True,False
Kolpotocheirodon figueiredoi,1631189,True,False
Myrmotherula snowi,6348,True,False
Willemia zeppelinii,2024463,True,False
Sparisoma rocha,1514238,True,False
Leptopanchax splendens,2300733,True,False
Trachylepis atlantica,559340,True,False
Potamotrygon signata,2303377,True,False
Scolopocryptops troglocaudatus,2027999,True,False
Paraclaravis geoffroyi,2302997,True,False
Pseudobatos percellens,2303397,True,False
Amphisbaena kiriri,2301676,True,False
Gabunillo enfurnado,2304248,True,False
Sternarchogiton zuanoni,1657841,True,False
Atractus ronnie,2023368,True,False
Eustrombus goliath,2026284,True,False
Deltamys araucaria,2301454,True,False
Knodus dorsomaculatus,1743508,True,False
Lachlania aldinae,2301248,True,False
Arinosaster patriciae,2303887,True,False
Eurolophosaurus amathites,1251313,True,False
Aegla itacolomiensis,2025192,True,False
Xenurolebias pataxo,2300697,True,False
Leodesmus yporangae,1319905,True,False
Speocera eleonorae,902739,True,False
Leptagrion bocainense,1239538,True,False
Hypsolebias marginatus,2025463,True,False
Cerdale fasciata,663176,True,False
Phlegopsis borbae,2022999,True,False
Brachyteles arachnoides,10451,True,False
Amatolebias varzeae,399128,True,False
Hylodes glaber,788380,True,False
Cotinga maculata,11289,True,False
Tricongius ybyguara,2303203,True,False
Chamaeza nobilis fulvipectus,2025870,True,False
Simothraulopsis eurybasis,2301200,True,False
Cambeva papillifera,2302890,True,False
Moenkhausia parecis,2301737,True,False
Praepedaliodes sequeirae,2027835,True,False
Arrhopalites botuveraensis,2024562,True,False
Discosura langsdorffi langsdorffi,2025813,True,False
Brycon gouldingi,1018195,True,False
Leposoma annectans,2023283,True,False
Phlegopsis nigromaculata confinis,2025969,True,False
Gyldenstolpia planaltensis,2023713,True,False
Paragenidens grandoculis,2302617,True,False
Hypsolebias multiradiatus,2025465,True,False
Pseudosinella guanhaensis,2300091,True,False
Ameiva jacuba,2301638,True,False
Girardia paucipunctata,2300139,True,False
Bothrops jabrensis,2303241,True,False
Millepora braziliensis,13217,True,False
Condylactis gigantea,1033456,True,False
Elacatinus phthirophagus,1811847,True,False
Oligoneuria macabaiba,2301251,True,False
Euryoryzomys lamia,2023707,True,False
Acanthochelys macrocephala,629067,True,False
Aegla obstipa,2025205,True,False
Microglanis maculatus,2025710,True,False
Amazoniscus leistikowi,2028048,True,False
Amphisbaena littoralis,2026153,True,False
Maratecoara splendida,1440085,True,False
Eleoscytalopus psychopompus,2022980,True,False
Formicivora acutirostris,2300480,True,False
Cambeva pascuali,2300899,True,False
Pimelodella spelaea,803306,True,False
Lebiasina minuta,2025381,True,False
Epiperipatus diadenoproctus,2026422,True,False
Progarypus nigrimanus,1830686,True,False
Leopardus guttulus,2026053,True,False
Amadonastur lacernulatus,2022852,True,False
Campylorhamphus trochilirostris trochilirostris,2025854,True,False
Juscelinomys candango,17706,True,False
Mustelus schmitti,456483,True,False
Xangoniscus itacarambiensis,2028059,True,False
Garcialebias reicherti,2479186,True,False
Sterna dougallii,2303164,True,False
Pseudosinella neriae,2304167,True,False
Stigmatura napensis napensis,2026008,True,False
Mobula rochebrunei,1021807,True,False
Pectenoniscus monsviridis,2304055,True,False
Spinopilar moria,2024049,True,False
Paracymbiomma caecus,2303609,True,False
Callithrix flaviceps,10650,True,False
Apostolepis thalesdelemai,2300644,True,False
Mussismilia harttii,2303413,True,False
Bombus bellicosus,1673151,True,False
Hasemania melanura,1024731,True,False
Phalotris lativittatus,1823341,True,False
Aeria olena tiuma,2302871,True,False
Jenynsia sanctaecatarinae,335488,True,False
Heterodactylus septentrionalis,2023282,True,False
Sapajus robustus,2023756,True,False
Megalobulimus parafragilior,2303449,True,False
Xiphocolaptes carajaensis,1320251,True,False
Biotocus turbinatus,2026319,True,False
Eukoenenia sagarana,2024069,True,False
Mustelus fasciatus,456583,True,False
Iuiuniscus iuiuensis,2028055,True,False
Clytoctantes atrogularis,1533209,True,False
Sapajus libidinosus,2023751,True,False
Pionus reichenowi,2023081,True,False
Sternarchorhynchus caboclo,1809182,True,False
Succinea lopesi,2026401,True,False
Forsterinaria itatiaia,2027727,True,False
Carcharhinus galapagensis,727283,True,False
Aegla oblata,2025204,True,False
Augastes lumachella,10254,True,False
Leposternon octostegum,1252369,True,False
Hypsolebias guanambi,2025454,True,False
Garcialebias pongondo,2479185,True,False
Thamnophilus caerulescens cearensis,2025979,True,False
Tangara velia signata,2025992,True,False
Genidens barbus,663263,True,False
Diomedea epomophora,11615,True,False
Eulaema felipei,2301977,True,False
Laniisoma elegans,2023037,True,False
Xiphorhynchus atlanticus,2022950,True,False
Phalloptychus eigenmanni,1005579,True,False
Euglossa avicula,2301973,True,False
Coarazuphium xingu,2303894,True,False
Thalasseus maximus,2303167,True,False
Spelaeometra hypogea,2304251,True,False
Epinephelus itajara,2027545,True,False
Mazama nana,13115,True,False
Odontanthias cauoh,2300749,True,False
Crossodactylus dantei,384485,True,False
Sternarchorhynchus inpai,1808954,True,False
Arraia nelmae,2301999,True,False
Rhipidodonta iheringi,2302878,True,False
Hyalella epikarstica,2028029,True,False
Leontopithecus caissara,12777,True,False
Ferricixius goliathi,2304157,True,False
Stenocercus quinarius,1769705,True,False
Pararrhopalites wallacei,2024281,True,False
Tityus kuryi,2024085,True,False
Hypsolebias magnificus,2025462,True,False
Newportia potiguar,2027575,True,False
Amazona vinacea,9882,True,True
Tursiops gephyreus,2300130,True,False
Scytalopus diamantinensis,2022981,True,False
Anomaloglossus apiau,2300231,True,False
Spiripockia punctata,2026278,True,False
Ophthalmolebias perpendicularis,2025541,True,False
Aburria cujubi,1320124,True,False
Formicivora littoralis,7191,True,False
Iansaoniscus iraquara,2028063,True,False
Iandumoema uai,1319827,True,False
Adebrotus lugoi,2024798,True,False
Millepora laboreli,2302618,True,False
Caretta caretta,10747,True,False
Natalus macrourus,2026060,True,False
Thalurania watertonii,7815,True,False
Benthanoides amazonicus,2304039,True,False
Garcialebias nubium,2479183,True,False
Garcialebias arachan,2479175,True,False
Carcharhinus brevipinna,727288,True,False
Coarazuphium formoso,2024687,True,False
Carcharhinus porosus,727193,True,False
Ophiodes enso,2301651,True,False
Urotrygon microphthalmum,2303387,True,False
Sternarchorhynchus villasboasi,1790898,True,False
Genidens planifrons,663262,True,False
Kryptolebias gracilis,1440370,True,False
Atlantirivulus nudiventris,2025429,True,False
Nematolebias papilliferus,176682,True,False
Odontophorus capueira plumbeicollis,2025832,True,False
Troglobentosminthurus luridus,2304171,True,False
Callicebus coimbrai,1715765,True,False
Cynopoecilus feltrini,2300571,True,False
