id_pan,bioma
CBC_01.01,Amazônia
CBC_01.01,Caatinga
CBC_01.01,Cerrado
CBC_01.01,Mata Atlântica
CBC_01.01,Pampa
CBC_01.01,Pantanal
CBC_02.01,Amazônia
CBC_02.01,Caatinga
CBC_02.01,Cerrado
CBC_02.01,Mata Atlântica
CBC_02.01,Pampa
CECAV_01.01,Cerrado
CECAV_02.01,Caatinga
CECAV_02.01,Cerrado
CECAV_02.01,Mata Atlântica
CECAV_03.01,Amazônia
CECAV_03.01,Caatinga
CECAV_03.01,Cerrado
CECAV_03.01,Sistema Costeiro-Marinho
CECAV_03.01,Mata Atlântica
CECAV_03.01,Pampa
CECAV_03.01,Pantanal
CEMAVE_01.01,Mata Atlântica
CEMAVE_02.01,Sistema Costeiro-Marinho
CEMAVE_03.01,Caatinga
CEMAVE_04.01,Amazônia
CEMAVE_04.01,Cerrado
CEMAVE_04.01,Mata Atlântica
CEMAVE_04.01,Pampa
CEMAVE_04.01,Pantanal
CEMAVE_05.01,Amazônia
CEMAVE_05.01,Caatinga
CEMAVE_05.01,Cerrado
CEMAVE_05.01,Mata Atlântica
CEMAVE_06.01,Mata Atlântica
CEMAVE_07.01,Mata Atlântica
CEMAVE_08.01,Caatinga
CEMAVE_09.01,Mata Atlântica
CEMAVE_10.02,Sistema Costeiro-Marinho
CEMAVE_11.01,Caatinga
CEMAVE_12.01,Mata Atlântica
CEMAVE_12.01,Pampa
CEMAVE_13.01,Caatinga
CEMAVE_14.01,Amazônia
CEMAVE_14.01,Cerrado
CEMAVE_14.01,Sistema Costeiro-Marinho
CEMAVE_14.01,Mata Atlântica
CEMAVE_14.01,Pampa
CEMAVE_14.01,Pantanal
CEMAVE_15.02,Caatinga
CEMAVE_16.01,Amazônia
CEMAVE_17.01,Cerrado
CEMAVE_17.01,Pantanal
CEMAVE_18.01,Cerrado
CEMAVE_18.01,Mata Atlântica
CEMAVE_19.02,Caatinga
CEMAVE_20.01,Mata Atlântica
CEMAVE_21.02,Amazônia
CEMAVE_21.02,Caatinga
CEMAVE_21.02,Cerrado
CEMAVE_21.02,Mata Atlântica
CEMAVE_21.02,Pampa
CEMAVE_21.02,Pantanal
CEMAVE_22.02,Mata Atlântica
CEMAVE_22.02,Pampa
CEMAVE_23.02,Cerrado
CEMAVE_23.02,Mata Atlântica
CEMAVE_24.01,Sistema Costeiro-Marinho
CEMAVE_25.02,Caatinga
CEMAVE_26.03,Sistema Costeiro-Marinho
CEMAVE_27.02,Caatinga
CEMAVE_28.02,Amazônia
CEMAVE_28.02,Cerrado
CEMAVE_28.02,Sistema Costeiro-Marinho
CEMAVE_28.02,Mata Atlântica
CEMAVE_28.02,Pampa
CEMAVE_28.02,Pantanal
CEMAVE_29.02,Cerrado
CEMAVE_29.02,Pantanal
