id_pan,nome_cientifico
CBC_01.01,Actinote quadra
CBC_01.01,Actinote zikani
CBC_01.01,Arawacus aethesa
CBC_01.01,Charonias theano
CBC_01.01,Dasyophthalma geraensis
CBC_01.01,Dasyophthalma rusina delanira
CBC_01.01,Dasyophthalma vertebralis
CBC_01.01,Dirphia monticola
CBC_01.01,Doxocopa zalmunna
CBC_01.01,Drephalys miersi
CBC_01.01,Drephalys mourei
CBC_01.01,Episcada vitrea
CBC_01.01,Eresia erysice erysice
CBC_01.01,Euptychia boulleti
CBC_01.01,Eurytides iphitas
CBC_01.01,Euselasia eberti
CBC_01.01,Heliconius nattereri
CBC_01.01,Heraclides himeros baia
CBC_01.01,Heraclides himeros himeros
CBC_01.01,Hesperocharis emeris emeris
CBC_01.01,Hyalyris fiammetta
CBC_01.01,Magnastigma julia
CBC_01.01,Mcclungia cymo fallens
CBC_01.01,Melinaea mnasias thera
CBC_01.01,Mimoides lysithous harrisianus
CBC_01.01,Morpho epistrophus nikolajewna
CBC_01.01,Morpho menelaus eberti
CBC_01.01,Moschoneura pinthous methymna
CBC_01.01,não é mais subespécie
CBC_01.01,Napeogenes rhezia rhezia
CBC_01.01,Narope guilhermei
CBC_01.01,Ochropyge ruficauda
CBC_01.01,Orobrassolis ornamentalis
CBC_01.01,Oxynetra roscius iphimedia
CBC_01.01,Paititia neglecta
CBC_01.01,Pampasatyrus glaucope boenninghauseni
CBC_01.01,Pampasatyrus gyrtone
CBC_01.01,Panara ovifera
CBC_01.01,Parapoynx restingalis
CBC_01.01,Parelbella polyzona
CBC_01.01,Parides ascanius
CBC_01.01,Parides bunichus chamissonia
CBC_01.01,Parides burchellanus
CBC_01.01,Parides lysander mattogrossensis
CBC_01.01,Parides panthonus castilhoi
CBC_01.01,Paulogramma hydarnis
CBC_01.01,Perrhybris pamela flava
CBC_01.01,Petrocerus catiena
CBC_01.01,Polygrapha suprema
CBC_01.01,Pseudocroniades machaon seabrai
CBC_01.01,Rhetus belphegor
CBC_01.01,Scada karschina delicata
CBC_01.01,Tithorea harmonia caissara
CBC_01.01,Turmosa camposa
CBC_01.01,Voltinia sanarita
CBC_01.01,Xenandra heliodes dibapha
CBC_01.01,Zonia zonia diabo
CBC_02.01,Actenosigynes mantiqueirensis
CBC_02.01,Actinote quadra
CBC_02.01,Actinote zikani
CBC_02.01,Adelpha atlantica
CBC_02.01,Albinapis gracilis
CBC_02.01,Arawacus aethesa
CBC_02.01,Arhysoceble picta
CBC_02.01,Arhysosage cactorum
CBC_02.01,Arhysosage flava
CBC_02.01,Bombus bahiensis
CBC_02.01,Bombus bellicosus
CBC_02.01,Centris hyptidoides
CBC_02.01,Centris thelyopsis
CBC_02.01,Cephalotrigona capitata
CBC_02.01,Charonias theano
CBC_02.01,Cunizza hirlanda fulvinota
CBC_02.01,Cunizza hirlanda planasia
CBC_02.01,Cyanophrys bertha
CBC_02.01,Doxocopa zalmunna
CBC_02.01,Drephalys miersi
CBC_02.01,Drephalys mourei
CBC_02.01,Epicharis minima
CBC_02.01,Epicharis pygialis
CBC_02.01,Episcada vitrea
CBC_02.01,Eresia erysice erysice
CBC_02.01,Eufriesea aeneiventris
CBC_02.01,Eufriesea brasilianorum
CBC_02.01,Eufriesea pyrrhopyga
CBC_02.01,Euglossa avicula
CBC_02.01,Euglossa botocuda
CBC_02.01,Euglossa cyanochlora
CBC_02.01,Euglossa decorata
CBC_02.01,Euglossa marianae
CBC_02.01,Eulaema felipei
CBC_02.01,Exaerete salsai
CBC_02.01,Exomalopsis atlantica
CBC_02.01,Glennia pylotis
CBC_02.01,Heliconius nattereri
CBC_02.01,Heraclides chiansiades
CBC_02.01,Heraclides garleppi lecerfi
CBC_02.01,Heraclides himeros baia
CBC_02.01,Heraclides himeros himeros
CBC_02.01,Hexantheda missionica
CBC_02.01,Hyalyris fiammetta
CBC_02.01,Hypoleria fallens
CBC_02.01,Hypoleria lavinia mulviana
CBC_02.01,Joiceya praeclarus
CBC_02.01,Lanthanomelissa betinae
CBC_02.01,Lanthanomelissa clementis
CBC_02.01,Magnastigma julia
CBC_02.01,Mcclungia cymo fallens
CBC_02.01,Melinaea mnasias thera
CBC_02.01,Melipona asilvai
CBC_02.01,Melipona bicolor
CBC_02.01,Melipona capixaba
CBC_02.01,Melipona fuliginosa
CBC_02.01,Melipona mandacaia
CBC_02.01,Melipona marginata
CBC_02.01,Melipona mondury
CBC_02.01,Melipona quinquefasciata
CBC_02.01,Melipona rufiventris
CBC_02.01,Melipona scutellaris
CBC_02.01,Melipona subnitida
CBC_02.01,Melipona torrida
CBC_02.01,Mimoides lysithous harrisianus
CBC_02.01,Mimoides lysithous sebastianus
CBC_02.01,Moschoneura pinthous methymna
CBC_02.01,Napeogenes rhezia rhezia
CBC_02.01,Nyceryx mielkei
CBC_02.01,Oxynetra roscius iphimedia
CBC_02.01,Pampasatyrus glaucope boenninghauseni
CBC_02.01,Pampasatyrus glaucope eberti
CBC_02.01,Pampasatyrus glaucope glaucope
CBC_02.01,Pampasatyrus gyrtone
CBC_02.01,Pampasatyrus reticulata
CBC_02.01,Pampasatyrus reticulata gagarini
CBC_02.01,Panara ovifera
CBC_02.01,Paratrigona incerta
CBC_02.01,Parelbella polyzona
CBC_02.01,Parides ascanius
CBC_02.01,Parides bunichus chamissonia
CBC_02.01,Parides burchellanus
CBC_02.01,Parides hahneli
CBC_02.01,Parides klagesi
CBC_02.01,Parides panthonus
CBC_02.01,Parides panthonus castilhoi
CBC_02.01,Parides tros danunciae
CBC_02.01,Partamona ailyae
CBC_02.01,Partamona combinata
CBC_02.01,Partamona littoralis
CBC_02.01,Perrhybris pamela flava
CBC_02.01,Petrocerus catiena
CBC_02.01,Plebeia grapiuna
CBC_02.01,Praepedaliodes sequeirae
CBC_02.01,Pseudocroniades machaon seabrai
CBC_02.01,Pterourus xanthopleura
CBC_02.01,Rhetus belphegor
CBC_02.01,Scada karschina delicata
CBC_02.01,Scada karschina karschina
CBC_02.01,Scaura cearensis
CBC_02.01,Schwarziana bocainensis
CBC_02.01,Strymon ohausi
CBC_02.01,Tetraglossula fucosa
CBC_02.01,Tithorea harmonia caissara
CBC_02.01,Turmosa camposa
CBC_02.01,Voltinia sanarita
CBC_02.01,Zonia zonia diabo
CECAV_01.01,Lonchophylla dekeyseri
