id_pan,sigla_estado
CBC_02.01,AL
CBC_02.01,BA
CBC_02.01,CE
CBC_02.01,DF
CBC_02.01,ES
CBC_02.01,GO
CBC_02.01,MA
CBC_02.01,MG
CBC_02.01,PA
CBC_02.01,PR
CBC_02.01,PE
CBC_02.01,PI
CBC_02.01,RJ
CBC_02.01,RN
CBC_02.01,RS
CBC_02.01,SP
CBC_02.01,SE
CBC_02.01,TO
CBC_02.01,SC
CBC_02.01,PB
CBC_02.01,MT
CBC_02.01,MS
CECAV_03.01,AC
CECAV_03.01,AL
CECAV_03.01,AP
CECAV_03.01,AM
CECAV_03.01,BA
CECAV_03.01,CE
CECAV_03.01,ES
CECAV_03.01,DF
CECAV_03.01,GO
CECAV_03.01,MA
CECAV_03.01,MT
CECAV_03.01,MS
CECAV_03.01,MG
CECAV_03.01,PA
CECAV_03.01,PB
CECAV_03.01,PE
CECAV_03.01,PI
CECAV_03.01,PR
CECAV_03.01,RJ
CECAV_03.01,RN
CECAV_03.01,RS
CECAV_03.01,RO
CECAV_03.01,RR
CECAV_03.01,SC
CECAV_03.01,SP
CECAV_03.01,SE
CECAV_03.01,TO
CEMAVE_20.01,AL
CEMAVE_20.01,BA
CEMAVE_20.01,DF
CEMAVE_20.01,ES
CEMAVE_20.01,CE
CEMAVE_20.01,GO
CEMAVE_20.01,MS
CEMAVE_20.01,MG
CEMAVE_20.01,PB
CEMAVE_20.01,PE
CEMAVE_20.01,PI
CEMAVE_20.01,RJ
CEMAVE_20.01,RN
CEMAVE_20.01,RS
CEMAVE_20.01,SC
CEMAVE_20.01,SP
CEMAVE_20.01,SE
CEMAVE_21.02,BA
CEMAVE_21.02,DF
CEMAVE_21.02,ES
CEMAVE_21.02,GO
CEMAVE_21.02,MT
CEMAVE_21.02,MS
CEMAVE_21.02,MG
CEMAVE_21.02,PR
CEMAVE_21.02,RJ
CEMAVE_21.02,RS
CEMAVE_21.02,SC
CEMAVE_21.02,SP
CEMAVE_22.02,PR
CEMAVE_22.02,RS
CEMAVE_22.02,SC
CEMAVE_23.02,GO
CEMAVE_23.02,MG
CEMAVE_23.02,TO
CEMAVE_24.01,AL
CEMAVE_24.01,AP
CEMAVE_24.01,BA
CEMAVE_24.01,CE
CEMAVE_24.01,ES
CEMAVE_24.01,MA
CEMAVE_24.01,PA
CEMAVE_24.01,PB
CEMAVE_24.01,PR
CEMAVE_24.01,PE
CEMAVE_24.01,PI
CEMAVE_24.01,RJ
CEMAVE_24.01,RN
CEMAVE_24.01,RS
CEMAVE_24.01,SC
CEMAVE_24.01,SP
CEMAVE_24.01,SE
CEMAVE_25.02,AL
CEMAVE_25.02,BA
CEMAVE_25.02,CE
CEMAVE_25.02,PB
CEMAVE_25.02,PE
CEMAVE_25.02,PI
CEMAVE_25.02,RN
CEMAVE_25.02,MG
CEMAVE_25.02,SE
CEMAVE_25.02,MA
CEMAVE_26.03,PR
CEMAVE_26.03,RJ
CEMAVE_26.03,RS
CEMAVE_26.03,SC
CEMAVE_26.03,SP
CEMAVE_26.03,ES
CEMAVE_27.02,BA
CEMAVE_28.02,AP
CEMAVE_28.02,PA
CEMAVE_28.02,MA
CEMAVE_28.02,PI
CEMAVE_28.02,RN
CEMAVE_28.02,PB
CEMAVE_28.02,PE
CEMAVE_28.02,AL
CEMAVE_28.02,SE
CEMAVE_28.02,BA
CEMAVE_28.02,RJ
CEMAVE_28.02,SP
CEMAVE_28.02,PR
CEMAVE_28.02,SC
CEMAVE_28.02,RS
CEMAVE_28.02,MT
CEMAVE_28.02,MS
CEMAVE_28.02,RO
CEMAVE_28.02,RR
CEMAVE_28.02,AM
CEMAVE_29.02,MG
CEMAVE_29.02,TO
CEMAVE_29.02,GO
CEMAVE_30.02,AC
CEMAVE_30.02,AP
CEMAVE_30.02,AM
CEMAVE_30.02,MT
CEMAVE_30.02,PA
CEMAVE_30.02,RO
CEMAVE_30.02,RR
CEMAVE_30.02,TO
CEMAVE_31.02,AL
CEMAVE_31.02,BA
CEMAVE_31.02,DF
CEMAVE_31.02,ES
CEMAVE_31.02,CE
CEMAVE_31.02,GO
CEMAVE_31.02,MS
CEMAVE_31.02,MG
CEMAVE_31.02,PB
CEMAVE_31.02,PE
CEMAVE_31.02,PI
CEMAVE_31.02,RJ
CEMAVE_31.02,RN
CEMAVE_31.02,RS
CEMAVE_31.02,SC
CEMAVE_31.02,SP
CEMAVE_31.02,SE
CEMAVE_32.03,PR
CEMAVE_32.03,RS
CEMAVE_32.03,SC
CEMAVE_33.03,AL
CEMAVE_33.03,BA
CEMAVE_33.03,CE
CEMAVE_33.03,PB
CEMAVE_33.03,PE
CEMAVE_33.03,PI
CEMAVE_33.03,RN
CEMAVE_33.03,MG
CEMAVE_33.03,SE
CEMAVE_33.03,MA
CEMAVE_34.02,AL
CEMAVE_34.02,AP
CEMAVE_34.02,BA
CEMAVE_34.02,CE
CEMAVE_34.02,ES
CEMAVE_34.02,MA
CEMAVE_34.02,PA
CEMAVE_34.02,PB
CEMAVE_34.02,PR
CEMAVE_34.02,PE
CEMAVE_34.02,PI
CEMAVE_34.02,RJ
CEMAVE_34.02,RN
CEMAVE_34.02,RS
CEMAVE_34.02,SC
CEMAVE_34.02,SP
CEMAVE_34.02,SE
CENAP_08.02,AM
CENAP_08.02,AP
CENAP_08.02,MT
CENAP_08.02,MS
CENAP_08.02,PA
CENAP_08.02,RO
CENAP_08.02,TO
CENAP_09.01,AC
CENAP_09.01,AP
CENAP_09.01,AM
CENAP_09.01,BA
CENAP_09.01,CE
CENAP_09.01,DF
CENAP_09.01,ES
CENAP_09.01,GO
CENAP_09.01,MA
CENAP_09.01,MT
CENAP_09.01,MS
CENAP_09.01,MG
CENAP_09.01,PA
CENAP_09.01,PR
CENAP_09.01,PI
CENAP_09.01,RJ
CENAP_09.01,RN
CENAP_09.01,RS
CENAP_09.01,RO
CENAP_09.01,RR
CENAP_09.01,SC
CENAP_09.01,SP
CENAP_09.01,TO
CENAP_09.01,SE
CENAP_09.01,PE
CENAP_09.01,PB
CENAP_10.01,AC
CENAP_10.01,AL
CENAP_10.01,AP
CENAP_10.01,AM
CENAP_10.01,BA
CENAP_10.01,DF
CENAP_10.01,ES
CENAP_10.01,GO
CENAP_10.01,MA
CENAP_10.01,MT
CENAP_10.01,MS
CENAP_10.01,MG
CENAP_10.01,PA
CENAP_10.01,PI
CENAP_10.01,RJ
CENAP_10.01,RO
CENAP_10.01,RS
CENAP_10.01,RR
CENAP_10.01,SC
CENAP_10.01,SP
CENAP_10.01,SE
CENAP_10.01,TO
CENAP_11.01,AC
CENAP_11.01,AP
CENAP_11.01,AM
CENAP_11.01,BA
