nome_cientifico,reino,filo,classe,ordem,familia,genero,grupo_taxonomico
Aegla violacea,Animalia,Arthropoda,Malacostraca,Decapoda,Aeglidae,Aegla,crustaceos
Spelaeogammarus spinilacertus,Animalia,Arthropoda,Malacostraca,Amphipoda,Artesiidae,Spelaeogammarus,crustaceos
Notholebias vermiculatus,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Notholebias,peixes
Simpsonichthys nigromaculatus,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Simpsonichthys,peixes
Amazona pretrei,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,aves
Pectenoniscus montalvaniensis,Animalia,Arthropoda,Malacostraca,Isopoda,Styloniscidae,Pectenoniscus,crustaceos
Schwarziana bocainensis,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Schwarziana,insetos
Ardistomis ferreirai,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Ardistomis,insetos
Maricaella duna,Animalia,Arthropoda,Entognatha,Symphypleona,Arrhopalitidae,Maricaella,outros
Iandumoema smeagol,Animalia,Arthropoda,Arachnida,Opiliones,Gonyleptidae,Iandumoema,aracnideos
Mobula thurstoni,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Mobulidae,Mobula,peixes
Myrmotherula oreni,Animalia,Chordata,Aves,Passeriformes,Thamnophilidae,Myrmotherula,aves
Atlantirivulus simplicis,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Atlantirivulus,peixes
Isogomphodon oxyrhynchus,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Isogomphodon,peixes
Eupera troglobia,Animalia,Mollusca,Bivalvia,Sphaeriida,Sphaeriidae,Eupera,moluscos
Pseudoplatystoma corruscans,Animalia,Chordata,Actinopterygii,Siluriformes,Pimelodidae,Pseudoplatystoma,peixes
Charinus eleonorae,Animalia,Arthropoda,Arachnida,Amblypygi,Charinidae,Charinus,aracnideos
Bombus bahiensis,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus,insetos
Pithecopus rusticus,Animalia,Chordata,Amphibia,Anura,Phyllomedusidae,Pithecopus,anfibios
Cubacubana spelaea,Animalia,Arthropoda,Insecta,Zygentoma,Nicoletiidae,Cubacubana,insetos
Hypsolebias adornatus,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Hypsolebias,peixes
Cnesterodon omorgmatos,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Poeciliidae,Cnesterodon,peixes
Acratosaura spinosa,Animalia,Chordata,Reptilia,Squamata,Gymnophthalmidae,Acratosaura,repteis
Anotosaura collaris,Animalia,Chordata,Reptilia,Squamata,Gymnophthalmidae,Anotosaura,repteis
Ophthalmolebias bokermanni,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Ophthalmolebias,peixes
Ortalis remota,Animalia,Chordata,Aves,Galliformes,Cracidae,Ortalis,aves
Harttia depressa,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Harttia,peixes
Calyptommatus nicterus,Animalia,Chordata,Reptilia,Squamata,Gymnophthalmidae,Calyptommatus,repteis
Garcialebias bagual,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Garcialebias,peixes
Piculus paraensis,Animalia,Chordata,Aves,Piciformes,Picidae,Piculus,aves
Alouatta caraya,Animalia,Chordata,Mammalia,Primates,Atelidae,Alouatta,mamiferos
Newportia spelaea,Animalia,Arthropoda,Chilopoda,Scolopendromorpha,Scolopocryptopidae,Newportia,outros
Lepidothrix iris,Animalia,Chordata,Aves,Passeriformes,Pipridae,Lepidothrix,aves
Hypsolebias nudiorbitatus,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Hypsolebias,peixes
Hypsolebias brunoi,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Hypsolebias,peixes
Serpophaga hypoleuca pallida,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Serpophaga,aves
Leposternon maximus,Animalia,Chordata,Reptilia,Squamata,Amphisbaenidae,Leposternon,repteis
Parotocinclus cesarpintoi,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Parotocinclus,peixes
Rhipidodonta koseritzi,Animalia,Mollusca,Bivalvia,Unionida,Hyriidae,Rhipidodonta,moluscos
Melanorivulus vittatus,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Melanorivulus,peixes
Phaenomys ferrugineus,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Phaenomys,mamiferos
Gymnura altavela,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Gymnuridae,Gymnura,peixes
Cyanopsitta spixii,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Cyanopsitta,aves
Leptopanchax sanguineus,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Leptopanchax,peixes
Plesiolebias xavantei,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Plesiolebias,peixes
Tosanoides aphrodite,Animalia,Chordata,Actinopterygii,Perciformes,Anthiadidae,Tosanoides,peixes
Matilebias litzi,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Matilebias,peixes
Contopus nigrescens,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Contopus,aves
Amphisbaena carvalhoi,Animalia,Chordata,Reptilia,Squamata,Amphisbaenidae,Amphisbaena,repteis
Diomedea exulans,Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Diomedea,aves
Microspathodon chrysurus,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Microspathodon,peixes
Lipaugus conditus,Animalia,Chordata,Aves,Passeriformes,Cotingidae,Lipaugus,aves
Astyanax eremus,Animalia,Chordata,Actinopterygii,Characiformes,Acestrorhamphidae,Astyanax,peixes
Plecturocebus bernhardi,Animalia,Chordata,Mammalia,Primates,Pitheciidae,Plecturocebus,mamiferos
Simpsonichthys zonatus,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Simpsonichthys,peixes
Xangoniscus aganju,Animalia,Arthropoda,Malacostraca,Isopoda,Styloniscidae,Xangoniscus,crustaceos
Plexaurella obesa,Animalia,Cnidaria,Anthozoa,Alcyonacea,Plexauridae,Plexaurella,outros
Coarazuphium amazonicus,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Coarazuphium,insetos
Aegla ludwigi,Animalia,Arthropoda,Malacostraca,Decapoda,Aeglidae,Aegla,crustaceos
Charinus taboa,Animalia,Arthropoda,Arachnida,Amblypygi,Charinidae,Charinus,aracnideos
Rhamdiopsis krugi,Animalia,Chordata,Actinopterygii,Siluriformes,Heptapteridae,Rhamdiopsis,peixes
Notholebias cruzi,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Notholebias,peixes
Actinote zikani,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Actinote,insetos
Microlepidogaster perforata,Animalia,Chordata,Actinopterygii,Siluriformes,Loricariidae,Microlepidogaster,peixes
Lutjanus cyanopterus,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae,Lutjanus,peixes
Leposternon kisteumacheri,Animalia,Chordata,Reptilia,Squamata,Amphisbaenidae,Leposternon,repteis
Alouatta discolor,Animalia,Chordata,Mammalia,Primates,Atelidae,Alouatta,mamiferos
Coarazuphium tessai,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Coarazuphium,insetos
Amphisbaena acangaoba,Animalia,Chordata,Reptilia,Squamata,Amphisbaenidae,Amphisbaena,repteis
Thamnophilus caerulescens pernambucensis,Animalia,Chordata,Aves,Passeriformes,Thamnophilidae,Thamnophilus,aves
Choranthias salmopunctatus,Animalia,Chordata,Actinopterygii,Perciformes,Anthiadidae,Choranthias,peixes
Thamnomanes caesius caesius,Animalia,Chordata,Aves,Passeriformes,Thamnophilidae,Thamnomanes,aves
Simpsonichthys cholopteryx,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Simpsonichthys,peixes
Kolpotocheirodon figueiredoi,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Kolpotocheirodon,peixes
Myrmotherula snowi,Animalia,Chordata,Aves,Passeriformes,Thamnophilidae,Myrmotherula,aves
Willemia zeppelinii,Animalia,Arthropoda,Entognatha,Symphypleona,Arrhopalitidae,Willemia,outros
Sparisoma rocha,Animalia,Chordata,Actinopterygii,Perciformes,Scaridae,Sparisoma,peixes
Leptopanchax splendens,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Leptopanchax,peixes
Trachylepis atlantica,Animalia,Chordata,Reptilia,Squamata,Mabuyidae,Trachylepis,repteis
Potamotrygon signata,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Potamotrygonidae,Potamotrygon,peixes
Scolopocryptops troglocaudatus,Animalia,Arthropoda,Chilopoda,Scolopendromorpha,Scolopocryptopidae,Scolopocryptops,outros
Paraclaravis geoffroyi,Animalia,Chordata,Aves,Columbiformes,Columbidae,Paraclaravis,aves
Pseudobatos percellens,Animalia,Chordata,Elasmobranchii,Rhinopristiformes,Rhinobatidae,Pseudobatos,peixes
Amphisbaena kiriri,Animalia,Chordata,Reptilia,Squamata,Amphisbaenidae,Amphisbaena,repteis
Gabunillo enfurnado,Animalia,Arthropoda,Malacostraca,Isopoda,Armadillidae,Gabunillo,crustaceos
Sternarchogiton zuanoni,Animalia,Chordata,Actinopterygii,Gymnotiformes,Apteronotidae,Sternarchogiton,peixes
Atractus ronnie,Animalia,Chordata,Reptilia,Squamata,Dipsadidae,Atractus,repteis
Eustrombus goliath,Animalia,Mollusca,Gastropoda,Littorinimorpha,Strombidae,Eustrombus,moluscos
Deltamys araucaria,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Deltamys,mamiferos
Knodus dorsomaculatus,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Knodus,peixes
Lachlania aldinae,Animalia,Arthropoda,Insecta,Ephemeroptera,Oligoneuriidae,Lachlania,insetos
Arinosaster patriciae,Animalia,Porifera,Demospongiae,Incertae Sedis,Incertae Sedis,Arinosaster,outros
Eurolophosaurus amathites,Animalia,Chordata,Reptilia,Squamata,Tropiduridae,Eurolophosaurus,repteis
Aegla itacolomiensis,Animalia,Arthropoda,Malacostraca,Decapoda,Aeglidae,Aegla,crustaceos
Xenurolebias pataxo,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Xenurolebias,peixes
Leodesmus yporangae,Animalia,Arthropoda,Diplopoda,Polydesmida,Chelodesmidae,Leodesmus,outros
Speocera eleonorae,Animalia,Arthropoda,Arachnida,Araneae,Ochyroceratidae,Speocera,aracnideos
Leptagrion bocainense,Animalia,Arthropoda,Insecta,Odonata,Coenagrionidae,Leptagrion,insetos
Hypsolebias marginatus,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Hypsolebias,peixes
Cerdale fasciata,Animalia,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Cerdale,peixes
Phlegopsis borbae,Animalia,Chordata,Aves,Passeriformes,Thamnophilidae,Phlegopsis,aves
Brachyteles arachnoides,Animalia,Chordata,Mammalia,Primates,Atelidae,Brachyteles,mamiferos
Amatolebias varzeae,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Amatolebias,peixes
Hylodes glaber,Animalia,Chordata,Amphibia,Anura,Hylodidae,Hylodes,anfibios
Cotinga maculata,Animalia,Chordata,Aves,Passeriformes,Cotingidae,Cotinga,aves
Tricongius ybyguara,Animalia,Arthropoda,Arachnida,Araneae,Gnaphosidae,Tricongius,aracnideos
Chamaeza nobilis fulvipectus,Animalia,Chordata,Aves,Passeriformes,Formicariidae,Chamaeza,aves
Simothraulopsis eurybasis,Animalia,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Simothraulopsis,insetos
Cambeva papillifera,Animalia,Chordata,Actinopterygii,Siluriformes,Trichomycteridae,Cambeva,peixes
Moenkhausia parecis,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,Moenkhausia,peixes
Praepedaliodes sequeirae,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Praepedaliodes,insetos
Arrhopalites botuveraensis,Animalia,Arthropoda,Entognatha,Symphypleona,Arrhopalitidae,Arrhopalites,outros
Discosura langsdorffi langsdorffi,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Discosura,aves
Brycon gouldingi,Animalia,Chordata,Actinopterygii,Characiformes,Bryconidae,Brycon,peixes
Leposoma annectans,Animalia,Chordata,Reptilia,Squamata,Gymnophthalmidae,Leposoma,repteis
Phlegopsis nigromaculata confinis,Animalia,Chordata,Aves,Passeriformes,Thamnophilidae,Phlegopsis,aves
Gyldenstolpia planaltensis,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Gyldenstolpia,mamiferos
Paragenidens grandoculis,Animalia,Chordata,Actinopterygii,Siluriformes,Ariidae,Paragenidens,peixes
Hypsolebias multiradiatus,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Hypsolebias,peixes
Pseudosinella guanhaensis,Animalia,Arthropoda,Entognatha,Entomobryomorpha,Entomobryidae,Pseudosinella,outros
Ameiva jacuba,Animalia,Chordata,Reptilia,Squamata,Teiidae,Ameiva,repteis
Girardia paucipunctata,Animalia,Platyhelminthes,Rhabditophora,Tricladida,Dugesiidae,Girardia,outros
Bothrops jabrensis,Animalia,Chordata,Reptilia,Squamata,Viperidae,Bothrops,repteis
Millepora braziliensis,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Milleporidae,Millepora,outros
Condylactis gigantea,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Condylactis,outros
Elacatinus phthirophagus,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Elacatinus,peixes
Oligoneuria macabaiba,Animalia,Arthropoda,Insecta,Ephemeroptera,Oligoneuriidae,Oligoneuria,insetos
Euryoryzomys lamia,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Euryoryzomys,mamiferos
Acanthochelys macrocephala,Animalia,Chordata,Reptilia,Testudines,Chelidae,Acanthochelys,repteis
Aegla obstipa,Animalia,Arthropoda,Malacostraca,Decapoda,Aeglidae,Aegla,crustaceos
Microglanis maculatus,Animalia,Chordata,Actinopterygii,Siluriformes,Pseudopimelodidae,Microglanis,peixes
Amazoniscus leistikowi,Animalia,Arthropoda,Malacostraca,Isopoda,Scleropactidae,Amazoniscus,crustaceos
Amphisbaena littoralis,Animalia,Chordata,Reptilia,Squamata,Amphisbaenidae,Amphisbaena,repteis
Maratecoara splendida,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Maratecoara,peixes
