assessment_id,nome_cientifico,ano_publicacao,data_avaliacao,categoria_risco_codigo,e_avaliacao_atual,possivelmente_extinta,criterio,escopo
140547309,Notholebias vermiculatus,2022,2018-11-07,EN,True,False,"B2ab(i,ii,iii,iv,v)",Global
1813914,Simpsonichthys nigromaculatus,2022,2018-11-07,VU,True,False,D2,Global
210018258,Amazona pretrei,2022,2022-07-13,VU,True,False,A2acd+3cde,Global
93104759,Amazona pretrei,2016,2016-10-01,VU,False,False,A2cd+3cd+4cd,Global
37905030,Amazona pretrei,2012,2012-05-01,VU,False,False,A2cd+3cd+4cd,Global
23290298,Amazona pretrei,2008,2008-05-01,VU,False,False,A2cd+3cd+4cd,Global
23291286,Amazona pretrei,2004,2004-05-01,VU,False,False,A2cd+3cd+4cd,Global
23273913,Amazona pretrei,2000,2000-05-01,VU,False,False,A2cd,Global
23274499,Amazona pretrei,1996,1996-05-01,EN,False,False,,Global
23275242,Amazona pretrei,1994,1994-05-01,EN,False,False,,Global
23275959,Amazona pretrei,1988,1988-05-01,T,False,False,,Global
279078290,Mobula thurstoni,2025,2025-06-17,CR,True,False,A2bd+3d,Global
124451622,Mobula thurstoni,2019,2018-11-09,EN,False,False,A2bd+3d,Global
214368409,Mobula thurstoni,2022,2018-11-09,EN,False,False,A2bd+3d,Global
100016879,Mobula thurstoni,2016,2016-02-23,NT,False,False,,Global
3091468,Mobula thurstoni,2016,2016-02-23,NT,False,False,,Global
12317473,Mobula thurstoni,2006,2006-01-31,NT,False,False,,Global
1822414,Atlantirivulus simplicis,2022,2018-11-07,EN,True,False,B2ab(iii),Global
3094144,Isogomphodon oxyrhynchus,2020,2019-07-01,CR,True,False,A2bcd,Global
12323498,Isogomphodon oxyrhynchus,2006,2006-01-31,CR,False,False,A2ad+3d+4ad,Global
1815977,Pseudoplatystoma corruscans,2023,2020-12-21,NT,True,False,A2bcde,Global
107291247,Pithecopus rusticus,2023,2021-04-09,CR,True,False,"B1ab(ii,iii)",Global
1819454,Hypsolebias adornatus,2022,2018-11-07,VU,True,False,D2,Global
1814034,Cnesterodon omorgmatos,2022,2018-11-07,CR,True,False,B2ab(iii),Global
134878741,Acratosaura spinosa,2021,2014-08-04,DD,True,False,,Global
134878993,Anotosaura collaris,2021,2014-08-04,DD,True,False,,Global
1826029,Ophthalmolebias bokermanni,2022,2018-11-07,CR,True,False,B2ab(iii),Global
135057835,Harttia depressa,2022,2018-11-07,EN,True,False,"B1ab(i,iii,iv)",Global
137792392,Calyptommatus nicterus,2021,2014-08-04,EN,True,False,B1ab(iii),Global
173823814,Garcialebias bagual,2021,2020-12-28,CR,True,False,"B1ab(ii,iii)+2ab(ii,iii)",Global
17924308,Alouatta caraya,2020,2015-01-26,NT,False,False,A4cde,Global
190414715,Alouatta caraya,2021,2015-01-26,NT,True,False,A4cde,Global
10496784,Alouatta caraya,2008,2008-06-30,LC,False,False,,Global
10497050,Alouatta caraya,2003,2003-04-30,LC,False,False,,Global
10496760,Alouatta caraya,1996,1996-08-01,LR/lc,False,False,,Global
171677370,Lepidothrix iris,2021,2020-06-05,VU,True,False,A3c+4c,Global
93810290,Lepidothrix iris,2016,2016-10-01,VU,False,False,A3c,Global
38622772,Lepidothrix iris,2012,2012-05-01,VU,False,False,A3c,Global
29933172,Lepidothrix iris,2009,2009-05-01,LC,False,False,,Global
29933744,Lepidothrix iris,2008,2008-05-01,LC,False,False,,Global
29926456,Lepidothrix iris,2004,2004-05-01,LC,False,False,,Global
29927046,Lepidothrix iris,2000,2000-05-01,LR/lc,False,False,,Global
29927345,Lepidothrix iris,1994,1994-05-01,LR/nt,False,False,,Global
29927912,Lepidothrix iris,1988,1988-05-01,LR/lc,False,False,,Global
136895373,Hypsolebias nudiorbitatus,2022,2018-11-07,DD,True,False,,Global
1813692,Hypsolebias brunoi,2022,2018-11-07,VU,True,False,D2,Global
263699624,Serpophaga hypoleuca pallida,2024,2024-06-12,LC,True,False,,Global
118644945,Serpophaga hypoleuca pallida,2017,2016-10-01,LC,False,False,,Global
93727299,Serpophaga hypoleuca pallida,2016,2016-10-01,LC,False,False,,Global
38655145,Serpophaga hypoleuca pallida,2012,2012-05-01,LC,False,False,,Global
35196934,Serpophaga hypoleuca pallida,2009,2009-05-01,LC,False,False,,Global
35197390,Serpophaga hypoleuca pallida,2008,2008-05-01,LC,False,False,,Global
35197927,Serpophaga hypoleuca pallida,2004,2004-05-01,LC,False,False,,Global
35198361,Serpophaga hypoleuca pallida,2000,2000-05-01,LR/lc,False,False,,Global
35198854,Serpophaga hypoleuca pallida,1994,1994-05-01,LR/lc,False,False,,Global
35199275,Serpophaga hypoleuca pallida,1988,1988-05-01,LR/lc,False,False,,Global
75161114,Leposternon maximus,2021,2012-12-31,LC,True,False,,Global
1825459,Parotocinclus cesarpintoi,2022,2018-11-07,LC,True,False,,Global
1820834,Melanorivulus vittatus,2023,2018-11-07,EN,True,False,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",Global
22388900,Phaenomys ferrugineus,2019,2016-07-11,EN,True,False,"B2ab(ii,iii)",Global
6430920,Phaenomys ferrugineus,2008,2008-06-30,VU,False,False,B1ab(iii),Global
6431031,Phaenomys ferrugineus,1996,1996-08-01,EN,False,False,C2a,Global
6430903,Phaenomys ferrugineus,1994,1994-01-01,E,False,False,,Global
3123409,Gymnura altavela,2021,2019-06-21,EN,True,False,A2d,Global
16527909,Gymnura altavela,2016,2016-03-25,CR,True,False,A2bd,Mediterranean
48931613,Gymnura altavela,2015,2015-02-17,CR,True,False,A2bd,Europe
12624290,Gymnura altavela,2007,2007-03-01,VU,False,False,A2bd+4bd,Global
153022606,Cyanopsitta spixii,2019,2019-06-20,EW,True,False,,Global
130431750,Cyanopsitta spixii,2018,2018-08-07,CR,False,False,D,Global
93078343,Cyanopsitta spixii,2016,2016-10-01,CR,False,False,D,Global
79740294,Cyanopsitta spixii,2015,2015-10-01,CR,False,False,D,Global
49809312,Cyanopsitta spixii,2013,2013-11-01,CR,False,False,D,Global
37872132,Cyanopsitta spixii,2012,2012-05-01,CR,False,False,D,Global
26831268,Cyanopsitta spixii,2010,2010-05-01,CR,False,False,D,Global
26832047,Cyanopsitta spixii,2009,2009-05-01,CR,False,False,D,Global
26832648,Cyanopsitta spixii,2008,2008-05-01,CR,False,False,D,Global
26833246,Cyanopsitta spixii,2004,2004-05-01,CR,False,True,D,Global
26833795,Cyanopsitta spixii,2002,2002-05-01,CR,False,False,,Global
26834823,Cyanopsitta spixii,2000,2000-05-01,CR,False,False,D,Global
26822265,Cyanopsitta spixii,1996,1996-05-01,CR,False,False,,Global
26822810,Cyanopsitta spixii,1994,1994-05-01,CR,False,False,,Global
26823181,Cyanopsitta spixii,1988,1988-05-01,T,False,False,,Global
140651433,Plesiolebias xavantei,2022,2018-11-07,EN,True,False,"B2ab(ii,iii,iv,v)",Global
261552930,Tosanoides aphrodite,2025,2024-07-02,LC,True,False,,Global
1816697,Matilebias litzi,2023,2022-05-18,VU,True,False,"B1ab(ii,iii)",Global
280987561,Contopus nigrescens,2025,2025-06-04,LC,True,False,,Global
118651881,Contopus nigrescens,2017,2016-10-01,LC,False,False,,Global
93749884,Contopus nigrescens,2016,2016-10-01,LC,False,False,,Global
110735432,Contopus nigrescens,2017,2016-10-01,LC,False,False,,Global
39103517,Contopus nigrescens,2012,2012-05-01,LC,False,False,,Global
26355592,Contopus nigrescens,2009,2009-05-01,LC,False,False,,Global
26355982,Contopus nigrescens,2008,2008-05-01,LC,False,False,,Global
26351733,Contopus nigrescens,2004,2004-05-01,LC,False,False,,Global
26352384,Contopus nigrescens,2000,2000-05-01,LR/lc,False,False,,Global
26353016,Contopus nigrescens,1994,1994-05-01,LR/lc,False,False,,Global
26353349,Contopus nigrescens,1988,1988-05-01,LR/lc,False,False,,Global
75159771,Amphisbaena carvalhoi,2021,2012-12-31,EN,True,False,B1ab(iii),Global
132640680,Diomedea exulans,2018,2018-08-07,VU,True,False,A4bd,Global
110676747,Diomedea exulans,2017,2016-10-01,VU,False,False,A4bd,Global
93677003,Diomedea exulans,2016,2016-10-01,VU,False,False,A4bd,Global
38939569,Diomedea exulans,2012,2012-05-01,VU,False,False,A4bd,Global
27214355,Diomedea exulans,2010,2010-05-01,VU,False,False,A4bd,Global
27215898,Diomedea exulans,2008,2008-05-01,VU,False,False,A4bd,Global
27217398,Diomedea exulans,2007,2007-05-01,VU,False,False,A4bd,Global
27218687,Diomedea exulans,2005,2005-05-01,VU,False,False,A4bd,Global
27219840,Diomedea exulans,2004,2004-05-01,VU,False,False,A4bd,Global
27221183,Diomedea exulans,2003,2003-05-01,VU,False,False,A4bd,Global
27222768,Diomedea exulans,2000,2000-05-01,VU,False,False,,Global
27224202,Diomedea exulans,1996,1996-05-01,VU,False,False,,Global
27225556,Diomedea exulans,1994,1994-05-01,NR,False,False,,Global
27226447,Diomedea exulans,1988,1988-05-01,NR,False,False,,Global
70419714,Microspathodon chrysurus,2015,2014-01-09,LC,True,False,,Gulf of Mexico
1902927,Microspathodon chrysurus,2015,2010-11-15,LC,True,False,,Global
216939985,Lipaugus conditus,2022,2022-05-10,VU,True,False,D1,Global
93793678,Lipaugus conditus,2016,2016-10-01,VU,False,False,D1,Global
61730192,Lipaugus conditus,2014,2014-07-24,VU,False,False,D1,Global
37964535,Lipaugus conditus,2012,2012-05-01,VU,False,False,D1+2,Global
36397237,Lipaugus conditus,2008,2008-05-01,VU,False,False,D2,Global
36398066,Lipaugus conditus,2004,2004-05-01,VU,False,False,D2,Global
36399138,Lipaugus conditus,2000,2000-05-01,VU,False,False,C1+2a(i);D2,Global
36399907,Lipaugus conditus,1996,1996-05-01,VU,False,False,,Global
36400357,Lipaugus conditus,1994,1994-05-01,VU,False,False,,Global
36401143,Lipaugus conditus,1988,1988-05-01,T,False,False,,Global
134691717,Astyanax eremus,2021,2018-11-07,CR,True,False,B2ab(iii),Global
17973161,Plecturocebus bernhardi,2018,2015-01-26,LC,True,False,,Global
10479950,Plecturocebus bernhardi,2008,2008-06-30,LC,False,False,,Global
10480029,Plecturocebus bernhardi,2003,2003-04-30,LC,False,False,,Global
1820774,Simpsonichthys zonatus,2022,2018-11-07,CR,True,False,"B2ab(i,ii,iii,iv)",Global
140708863,Rhamdiopsis krugi,2021,2018-11-07,VU,True,False,B1ab(iii),Global
