nome_cientifico,nome_popular
Aegla violacea,
Notholebias vermiculatus,Peixe-anual
Simpsonichthys nigromaculatus,Peixe-anual
Amazona pretrei,
Mobula thurstoni,
Atlantirivulus simplicis,
Isogomphodon oxyrhynchus,Cacao Pato
Eupera troglobia,
Pseudoplatystoma corruscans,Caçonete
Pithecopus rusticus,
Hypsolebias adornatus,Peixe-anual
Cnesterodon omorgmatos,Barrigudinho
Acratosaura spinosa,
Anotosaura collaris,
Ophthalmolebias bokermanni,Peixe-anual
Harttia depressa,Acari-cachimbo
Calyptommatus nicterus,
Garcialebias bagual,
Alouatta caraya,Bugio
Lepidothrix iris,
Hypsolebias nudiorbitatus,
Hypsolebias brunoi,Peixe-anual
Serpophaga hypoleuca pallida,
Leposternon maximus,
Parotocinclus cesarpintoi,Cascudinho
Rhipidodonta koseritzi,
Melanorivulus vittatus,
Phaenomys ferrugineus,
Gymnura altavela,
Cyanopsitta spixii,
Plesiolebias xavantei,Peixe-anual
Tosanoides aphrodite,
Matilebias litzi,Peixe-anual
Contopus nigrescens,
Amphisbaena carvalhoi,
Diomedea exulans,
Microspathodon chrysurus,
Lipaugus conditus,
Astyanax eremus,Lambari
Plecturocebus bernhardi,Zogue-zogue
Simpsonichthys zonatus,Peixe-anual
Aegla ludwigi,
Rhamdiopsis krugi,bagrinho-cego
Notholebias cruzi,Peixe-anual
Lutjanus cyanopterus,
Leposternon kisteumacheri,Cobra-de-duas-cabeças
Alouatta discolor,Guariba-de-mãos-ruivas
Amphisbaena acangaoba,
Thamnophilus caerulescens pernambucensis,
Choranthias salmopunctatus,
Thamnomanes caesius caesius,
Simpsonichthys cholopteryx,Peixe-anual
Kolpotocheirodon figueiredoi,
Myrmotherula snowi,
Sparisoma rocha,Bodião-de-Trindade
Leptopanchax splendens,peixe-anual
Trachylepis atlantica,
Potamotrygon signata,
Paraclaravis geoffroyi,
Pseudobatos percellens,Viola
Amphisbaena kiriri,
Sternarchogiton zuanoni,Sarapó
Atractus ronnie,Cobra-da-terra dos brejos
Knodus dorsomaculatus,
Lachlania aldinae,
Eurolophosaurus amathites,
Aegla itacolomiensis,
Leptagrion bocainense,
Hypsolebias marginatus,Peixe-anual
Cerdale fasciata,Peixe Lombriga Listrado
Phlegopsis borbae,
Brachyteles arachnoides,Mono
Amatolebias varzeae,Peixe-anual
Hylodes glaber,
Cotinga maculata,
Chamaeza nobilis fulvipectus,
Simothraulopsis eurybasis,
Discosura langsdorffi langsdorffi,
Brycon gouldingi,Matrinxã
Leposoma annectans,
Phlegopsis nigromaculata confinis,
Paragenidens grandoculis,
Hypsolebias multiradiatus,Peixe-anual
Ameiva jacuba,
Millepora braziliensis,
Condylactis gigantea,
Elacatinus phthirophagus,
Euryoryzomys lamia,
Acanthochelys macrocephala,Cágado-do-Pantanal
Aegla obstipa,
Microglanis maculatus,
Amphisbaena littoralis,Cobra-de-duas-cabeças
Maratecoara splendida,Peixe-anual
Eleoscytalopus psychopompus,
Formicivora acutirostris,
Cambeva pascuali,
Pimelodella spelaea,
Lebiasina minuta,
Epiperipatus diadenoproctus,
Leopardus guttulus,Gato-do-mato
Campylorhamphus trochilirostris trochilirostris,
Juscelinomys candango,
Mustelus schmitti,Caçonete E Cação-cola-fina
Garcialebias reicherti,
Sterna dougallii,
Stigmatura napensis napensis,
Callithrix flaviceps,Sagüi-da-serra-claro
Apostolepis thalesdelemai,
Mussismilia harttii,Coral-couve-flor
Bombus bellicosus,Mamangava
Hasemania melanura,Lambari
Phalotris lativittatus,
Jenynsia sanctaecatarinae,
Heterodactylus septentrionalis,
Sapajus robustus,Macaco Prego
Megalobulimus parafragilior,
Mustelus fasciatus,Cação-listrado
Clytoctantes atrogularis,
Sapajus libidinosus,Macaco-prego
Pionus reichenowi,
Sternarchorhynchus caboclo,sarapó
Carcharhinus galapagensis,Tubarão-das-Galápagos
Aegla oblata,
Augastes lumachella,
Leposternon octostegum,Cobra-de-duas-cabeças
Hypsolebias guanambi,Peixe-anual
Garcialebias pongondo,
Thamnophilus caerulescens cearensis,
Tangara velia signata,
Genidens barbus,Bagre branco
Diomedea epomophora,
Laniisoma elegans,
Xiphorhynchus atlanticus,Arapaçu-rajado-do-nordeste
Phalloptychus eigenmanni,Barrigudinho
Thalasseus maximus,
Epinephelus itajara,
Mazama nana,Veado-mão-curta
Odontanthias cauoh,
Crossodactylus dantei,
Sternarchorhynchus inpai,Sarapó
Arraia nelmae,Minhoca
Rhipidodonta iheringi,
Leontopithecus caissara,Mico-caiçara
Stenocercus quinarius,
Hypsolebias magnificus,Peixe-anual
Amazona vinacea,
Scytalopus diamantinensis,
Anomaloglossus apiau,
